Hand
Deck
Three of Clubs       Ten of Spades    Eight of Diamonds  Queen of Diamonds
 King of Clubs      Nine of Hearts    Deuce of Clubs     Seven of Diamonds
Three of Diamonds   Four of Hearts     Five of Clubs       Ten of Hearts  
 Jack of Spades    Seven of Spades    Eight of Spades      Six of Diamonds
 Jack of Diamonds  Deuce of Spades      Ace of Clubs      Nine of Clubs   
  Six of Spades    Deuce of Diamonds    Six of Hearts      Ace of Diamonds
Queen of Hearts    Queen of Clubs      King of Hearts    Deuce of Hearts  
  Six of Clubs      Jack of Hearts     Five of Diamonds  Seven of Clubs   
 Nine of Diamonds   Four of Diamonds   King of Spades     Four of Spades  
Three of Spades    Eight of Clubs      Four of Clubs       Ace of Hearts  
Queen of Spades      Ace of Spades     Five of Spades    Seven of Hearts  
  Ten of Clubs     Eight of Hearts     Five of Hearts     Nine of Spades  
 King of Diamonds    Ten of Diamonds   Jack of Clubs     Three of Hearts  
Maior Carta
